Time,Process_Time [s],State,Temperature [Centigrade]
Thu Feb 16 14:43:42 2017,467,Initialization,25.0
Thu Feb 16 14:43:42 2017,468,Initialization,25.0
Thu Feb 16 14:43:43 2017,469,Initialization,24.0
Thu Feb 16 14:43:43 2017,470,Initialization,24.0
Thu Feb 16 14:43:43 2017,471,Initialization,25.0
Thu Feb 16 14:43:43 2017,472,Initialization,24.0
Thu Feb 16 14:43:44 2017,473,Initialization,25.0
Thu Feb 16 14:43:44 2017,474,Initialization,25.0
Thu Feb 16 14:43:44 2017,475,Initialization,25.0
Thu Feb 16 14:43:44 2017,476,Initialization,24.0
Thu Feb 16 14:43:45 2017,477,Initialization,25.0
Thu Feb 16 14:43:45 2017,478,Initialization,24.0
